OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Linux x86_64,Linux x86_64,2,Not Available,Not Available,Not Available,1280x800,Firefox/68.0,2409:4072:809:f39b:dbf:4a99:c6b9:3d6f,Asia,India,Tamil Nadu,Chennai,RJIL LTE PUBLIC TamilNadu,Reliance Jio Infocomm Limited,13.086 deg,80.2751 deg,25000 m,Not Available,Not Available,Not Available
Android 8.0.0,Linux i686,2,1,"Google (VMware, Inc.)","Android Emulator OpenGL ES Translator (Gallium 0.4 on llvmpipe (LLVM 3.5, 256 bits))",1024x600,Chrome/69.0.3497.100,176.9.143.190,Europe,Germany,Saxony-Anhalt,Falkenstein,Hetzner,Hetzner Online GmbH,37.4219983 deg,-122.084 deg,20 m,Not Available,Not Available,0 m/s
